t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T0001,-75.64671048006713,75.64671048006713,-28.32,28.32,1.6324583333333331,0.11427208333333333,1.6324583333333331,1.9824000000000002,,,,,,,True,False,False,True,False
T0002,-69.09155000331454,69.09155000331454,-10.07,10.07,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.7049000000000001,,,,,,,True,False,False,True,False
T0003,-66.21446313105216,66.21446313105216,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,,,,,,,True,False,False,True,False
T0004,-66.21446313105216,66.21446313105216,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,,,,,,,True,False,False,True,False
T0005,-66.21446313105216,66.21446313105216,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,,,,,,,True,False,False,True,False
T0006,-65.7798470117716,65.7798470117716,-0.8499999999999996,0.8499999999999996,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.05949999999999998,,,,,,,True,False,False,True,False
T0007,-64.09166869721065,64.09166869721065,-0.0,0.0,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.0,,,,,,,True,False,False,True,False
T0008,-64.87469608566656,64.87469608566656,1.67,-1.67,1.6324583333333331,0.11427208333333333,1.6324583333333331,-0.1169,,,,,,,True,False,False,True,False
T0009,-66.21446313105216,66.21446313105216,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,,,,,,,True,False,False,True,False
T0010,-66.21446313105216,66.21446313105216,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,,,,,,,True,False,False,True,False
