t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T0001,-8.78992,8.78992,-28.32,28.32,1.6324583333333331,0.11427208333333333,1.6324583333333331,1.9824000000000002,1.0005,0.0004999999999999449,0.0,8.78992,0.0,-6.221170000000011,True,True,False,True,False
T0002,-8.78992,8.78992,-10.07,10.07,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.7049000000000001,1.001,0.0004999999999999449,0.0,8.78992,0.0,-6.221170000000011,True,True,False,True,False
T0003,-8.78992,8.78992,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,1.0014999999999998,0.0004999999999999449,0.0,8.78992,0.0,-6.221170000000011,True,True,False,True,False
T0004,-8.78992,8.78992,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,1.0019999999999998,0.0004999999999999449,0.0,8.78992,0.0,-6.221170000000011,True,True,False,True,False
T0005,-8.78992,8.78992,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,1.0024999999999997,0.0004999999999999449,0.0,8.78992,0.0,-6.221170000000011,True,True,False,True,False
T0006,-8.78992,8.78992,-0.8499999999999996,0.8499999999999996,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.05949999999999998,1.0029999999999997,0.0004999999999999449,0.0,8.78992,0.0,-6.221170000000011,True,True,False,True,False
T0007,-8.78992,8.78992,3.8499999999999996,-3.8499999999999996,1.6324583333333331,0.11427208333333333,1.6324583333333331,-0.2695,1.0034999999999996,0.0004999999999999449,0.0,8.78992,0.0,-6.221170000000011,True,True,False,True,False
T0008,-8.78992,8.78992,1.67,-1.67,1.6324583333333331,0.11427208333333333,1.6324583333333331,-0.1169,1.0039999999999996,0.0004999999999999449,0.0,8.78992,0.0,-6.221170000000011,True,True,False,True,False
T0009,-8.78992,8.78992,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,1.0044999999999995,0.0004999999999999449,0.0,8.78992,0.0,-6.221170000000011,True,True,False,True,False
T0010,-8.78992,8.78992,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,1.0049999999999994,0.0004999999999999449,0.0,8.78992,0.0,-6.221170000000011,True,True,False,True,False
T0011,-8.78992,8.78992,-2.06,2.06,1.6324583333333331,0.11427208333333333,1.6324583333333331,0.14420000000000002,1.0054999999999994,0.0004999999999999449,0.0,8.78992,0.0,-6.221170000000011,True,True,False,True,False
